1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5.632381,62.738095,84.450952,0.93619,0.82381,0.243333,0.22381,76.98619,50.009524,1.089524,0.091429,0.309524,2.452381,16.190476,2902.380952,1.020346
5.67381,64.927619,84.46619,0.914762,0.822381,0.249048,0.222857,77.093333,49.921429,1.060952,0.091429,0.32381,2.27619,18.761905,3203.047619,1.020013
5.665714,70.17,84.524286,0.893333,0.832381,0.264286,0.229524,77.372381,49.184286,1.041429,0.090476,0.342857,2.414286,23.190476,2887.809524,1.019529
5.679524,72.002857,84.564286,0.881429,0.83381,0.269048,0.230952,77.445714,49.338571,1.02619,0.091429,0.338095,2.452381,24.142857,2781.761905,1.019724
5.758095,70.803333,84.490952,0.868571,0.819524,0.264286,0.229524,77.352381,49.854286,1.034762,0.094286,0.366667,2.366667,22.571429,3184.047619,1.019377
5.879048,71.08381,84.46,0.842857,0.799048,0.253333,0.221429,77.267619,51.481905,1.005714,0.097143,0.371429,2.37619,18.285714,3563.809524,1.018748
5.94381,71.831429,84.49,0.834286,0.792857,0.244762,0.21619,77.234762,53.140476,0.983333,0.09619,0.338095,2.638095,15.761905,2958.761905,1.018281
5.93619,72.065714,84.53619,0.830952,0.793333,0.245238,0.215714,77.313333,53.031905,0.968571,0.095714,0.338095,2.742857,15.857143,2755.190476,1.018139
5.888571,67.919048,84.542381,0.850952,0.812857,0.246667,0.218095,77.422857,50.762381,0.966667,0.090952,0.333333,2.752381,16.095238,2726.285714,1.017354
5.87,66.692308,84.553077,0.854615,0.821538,0.250769,0.22,77.463846,49.128462,0.968462,0.087692,0.353846,2.569231,16.153846,2896.923077,1.017191
5.715714,77.367143,84.517143,0.88,0.811429,0.251429,0.215714,77.287143,53.365714,0.93,0.105714,0.4,2.471429,19.571429,899,1.027304
5.814,72.379333,84.356,0.878667,0.802,0.245333,0.214,77.054,51.864667,0.954667,0.105333,0.373333,2.36,18.866667,1075.4,1.027048
5.771905,74.94,84.300952,0.898095,0.817143,0.249048,0.217619,76.948571,47.491905,0.976667,0.10381,0.319048,2.528571,18.809524,1626.190476,1.027767
5.719524,75.500952,84.318095,0.928095,0.830952,0.251905,0.220952,77.012381,45.399048,1.01619,0.102381,0.290476,2.62381,19.47619,2384.142857,1.029063
5.59619,78.224286,84.281905,0.991905,0.858571,0.258571,0.228095,77.096667,45.934286,1.092857,0.1,0.304762,2.733333,17.857143,2999.857143,1.029408
5.587143,78.587143,84.25,0.999048,0.859048,0.255238,0.228095,77.208571,46.838095,1.104762,0.097143,0.309524,2.742857,17.809524,3124.428571,1.028651
5.595714,83.138095,84.39,0.965238,0.841429,0.250952,0.224762,77.248571,49.009048,1.057143,0.09619,0.352381,2.67619,15.047619,2585.285714,1.024758
5.678095,79.208571,84.316667,0.949524,0.837143,0.246667,0.222381,77.195238,50.004762,1.05,0.094762,0.366667,2.690476,13.761905,2120.571429,1.022823
5.729524,68.875714,84.305238,0.933333,0.832381,0.244286,0.222857,77.085714,50.02381,1.051905,0.095238,0.342857,2.733333,12.380952,1917.428571,1.021446
5.713333,62.269048,84.281905,0.94,0.830476,0.243333,0.222857,77.017619,50.230476,1.081429,0.093333,0.333333,2.7,12.809524,2220.428571,1.021009
5.64,63.785238,84.461429,0.92619,0.821905,0.245238,0.222857,77,50.055714,1.072857,0.091429,0.304762,2.457143,17.52381,3094.190476,1.019714
5.67,65.30619,84.524762,0.91381,0.823333,0.250476,0.223333,77.135238,49.740952,1.06,0.091429,0.328571,2.271429,18.952381,3202.285714,1.020386
